,E,T
0.0,0.1,0.1
0.01,0.10922900179256846,0.10435485556414772
0.02,0.11840187284768519,0.10889004246441358
0.03,0.1275213115352812,0.11361264754141345
0.04,0.1365900642200212,0.11852997483968095
0.05,0.14561094560742627,0.12364960334583268
0.06,0.1545868366788429,0.12897938664024938
0.07,0.16352068564295755,0.13452745876610067
0.08,0.17241550752986395,0.14030223484789292
0.09,0.18127438773450902,0.14631242838213462
0.1,0.19010048272719623,0.15256705809937204
0.11,0.1988970213897465,0.15907545848024868
0.12,0.20766730470721972,0.1658472765232191
0.13,0.2164147074202196,0.17289248600487403
0.14,0.22514267970157067,0.18022140852951268
0.15,0.23385474869505765,0.18784471586255477
0.16,0.24255451735403913,0.1957734347511933
0.17,0.2512456622559852,0.20401894604629542
0.18,0.2599319389589075,0.21259300986906415
0.19,0.2686171786404107,0.22150776652618934
0.2,0.27730528795782006,0.23077574455157593
0.21,0.2860002511486251,0.2404098712174512
0.22,0.29470612612387154,0.2504234787489068
0.23,0.3034270452739489,0.26083031304396465
0.24,0.3121672158291013,0.27164454198574
0.25,0.32093091454385936,0.2828807590624188
0.26,0.3297224894691748,0.2945539936772946
0.27,0.3385463580878766,0.30667971750165546
0.28,0.3474070004631159,0.3192738445583041
0.29,0.35630896338395546,0.332352745448189
0.3,0.3652568575367097,0.34593325244587697
0.31,0.37425534625395507,0.36003265065385387
0.32,0.3833091470167904,0.374668689766181
0.33,0.39242303268971934,0.38985959539764087
0.34,0.40160182249755916,0.40562406110965804
0.35000000000000003,0.41085037195202706,0.4219812367348029
0.36,0.4201735801312756,0.4389507554432797
0.37,0.42957638176497887,0.4565527263532949
0.38,0.4390637333035099,0.4748077080189071
0.39,0.4486406138810011,0.493736724064786
0.4,0.4583120201333916,0.513361259807542
0.41000000000000003,0.46808295726719507,0.5337032437429801
0.42,0.47795843605877875,0.5547850563141786
0.43,0.4879434632692367,0.5766295080803342
0.44,0.49804303213376183,0.5992598184880377
0.45,0.5082621207018377,0.6226996288078063
0.46,0.5186056790947201,0.646972959503519
0.47000000000000003,0.5290786231092554,0.6721042029031883
0.48,0.5396858281808983,0.6981181172485743
0.49,0.5504321161340275,0.7250397708937573
0.5,0.561322250272925,0.7528945474459955
0.51,0.572360926045477,0.7817081150947356
0.52,0.5835527584445818,0.8115063654997545
0.53,0.594902276987935,0.8423154248490732
0.54,0.6064139138133571,0.8741615914058768
0.55,0.6180919929922587,0.9070712860766295
0.56,0.6299407236239609,0.9410710509935574
0.5700000000000001,0.6419641869818369,0.9761874578883803
0.58,0.6541663275003321,1.0124470817632099
0.59,0.6665509435261249,1.049876467300821
0.6,0.6791216751873415,1.0885020250146802
0.61,0.6918819954717228,1.128350016214706
0.62,0.7048351999714062,1.1694464885330926
0.63,0.7179843958203189,1.2118171686969461
0.64,0.7313324919819485,1.2554874416406194
0.65,0.7448821889792707,1.3004822635205462
0.66,0.7586359696777899,1.3468260746814094
0.67,0.7725960877022906,1.3945427213423698
0.68,0.7867645580703155,1.4436553731752324
0.6900000000000001,0.8011431500372425,1.4941864730665668
0.7000000000000001,0.815733374774064,1.546157608724624
0.71,0.8305364768387173,1.5995894307324727
0.72,0.8455534273819072,1.654501577757072
0.73,0.8607849134375547,1.7109125639580394
0.74,0.8762313300554697,1.7688396846111376
0.75,0.8918927743497175,1.8282989281037234
0.76,0.9077690362990872,1.8893048649442266
0.77,0.923859591976162,1.9518705472981632
0.78,0.940163599315113,2.0160074235673795
0.79,0.9566798903627938,2.0817252216344997
0.8,0.973406966016583,2.1490318471086622
0.81,0.9903429937141283,2.2179333042235445
0.8200000000000001,1.0074858017001014,2.2884335791399937
0.8300000000000001,1.0248328756080647,2.3605345403904643
0.84,1.0423813584595243,2.4342358714885033
0.85,1.0601280473576575,2.509534959990678
0.86,1.0780693922796056,2.5864268045188576
0.87,1.0962014986093809,2.6649039634017817
0.88,1.1145201267536153,2.7449564571389122
0.89,1.1330206934987663,2.826571686890087
0.9,1.1516982772737445,2.9097344038245407
0.91,1.1705476210084789,2.9944266315139663
0.92,1.1895631365078023,3.080627603155765
0.93,1.2087389123281584,3.1683137522279186
0.9400000000000001,1.2280687204086713,3.2574586667129983
0.9500000000000001,1.247546023810947,3.3480330522801016
0.96,1.2671639865533273,3.4400047298597203
0.97,1.2869154843836936,3.5333386457772473
0.98,1.3067931166367324,3.627996869806229
0.99,1.3267892192752073,3.7239386234305094
1.0,1.3468958759447265,3.821120279793267
1.01,1.3671049350061344,3.9194954333796277
1.02,1.3874080258682415,4.019014961635807
1.03,1.407796573955694,4.119627071933963
1.04,1.4282618175433706,4.2212773715399114
1.05,1.4487948284816556,4.323908984050921
1.06,1.4693865305127998,4.42746264131162
1.07,1.4900277171499692,4.531876775024424
1.08,1.5107090742684162,4.637087663085757
1.09,1.5314212010572616,4.743029563141768
1.1,1.5521546299940392,4.849634838314139
1.11,1.5728998491086816,4.95683411545001
1.12,1.5936473251072854,5.064556459274236
1.1300000000000001,1.6143875249840869,5.172729532923151
1.1400000000000001,1.6351109370993027,5.281279756206372
1.1500000000000001,1.6558080952705088,5.390132512988854
1.16,1.6764696006321365,5.499212334154609
1.17,1.697086142498839,5.608443069158198
1.18,1.71764852071692,5.717748093832768
1.19,1.7381476671255662,5.8270505124678955
1.2,1.7585746658108836,5.936273344389684
1.21,1.7789207729205112,6.045339714404931
1.22,1.7991774364909523,6.154173066093943
1.23,1.819336314725323,6.26269735073464
1.24,1.8393892937794651,6.370837213403026
1.25,1.8593285046151495,6.478518171657749
1.26,1.8791463380155806,6.585666803813231
1.27,1.8988354589574286,6.6922109141163055
1.28,1.9183888208941606,6.798079711016358
1.29,1.9377996799528228,6.903203992378133
1.3,1.9570616027498857,7.007516251651975
1.31,1.976168476949672,7.110950828657782
1.32,1.9951145204910445,7.213444051396973
1.33,2.0138942910093935,7.314934390345655
1.34,2.03250268881478,7.415362521683105
1.35,2.0509349624402224,7.5146714388909
1.36,2.0691867125734316,7.612806548300818
1.37,2.0872538959536917,7.709715773863026
1.3800000000000001,2.105132824567096,7.805349589892156
1.3900000000000001,2.122820166200915,7.899661085579616
1.4000000000000001,2.1403129434117263,7.9926060122418505
1.41,2.157608531504806,8.084142827867428
1.42,2.1747046551480276,8.174232707703519
1.43,2.1915993842797064,8.262839560036488
1.44,2.208291128970378,8.349930029398383
1.45,2.224778632951157,8.435473490456948
1.46,2.241060967469231,8.519442030863235
1.47,2.25713752378363,8.60181042688926
1.48,2.2730080049364307,8.68255610978
1.49,2.2886724158360385,8.761659117813904
1.5,2.304131055195834,8.83910205520978
1.51,2.3193845056940843,8.914870036996614
1.52,2.334433623709859,8.988950627384247
1.53,2.349279527393439,9.061333760818084
1.54,2.363923587241128,9.13201168263953
1.55,2.3783674150470753,9.2009788732713
1.56,2.3926128526202683,9.26823196794885
1.57,2.4066619591108265,9.333769659784046
1.58,2.4205170008704227,9.397592627119254
1.59,2.4341804401429856,9.459703446807673
1.6,2.447654923634906,9.520106504215313
1.61,2.460943270147858,9.578807889886777
1.62,2.474048460333717,9.635815319136023
1.6300000000000001,2.486973625842815,9.691138042460098
1.6400000000000001,2.499722038435744,9.74478675342828
1.6500000000000001,2.512297098703218,9.796773488329002
1.6600000000000001,2.5247023262455226,9.847111543389284
1.67,2.536941349762835,9.895815388249844
1.68,2.549017897208121,9.942900577733528
1.69,2.560935785954717,9.988383659527553
1.7,2.5726989139623977,10.032282095830551
1.71,2.5843112511217274,10.074614184345933
1.72,2.5957768307827043,10.115398978775502
1.73,2.607099741593302,10.154656209972007
1.74,2.6182841194785516,10.192406204159376
1.75,2.6293341407243855,10.22866982295141
1.76,2.640254014823469,10.263468391057243
1.77,2.651047977809625,10.296823630140242
1.78,2.661720286443224,10.328757597152002
1.79,2.6722752120966278,10.359292623698147
1.8,2.682717035034269,10.388451258364277
1.81,2.6930500393105006,10.416256212600409
1.82,2.7032785080414303,10.442730309970505
1.83,2.7134067194208504,10.467896440517617
1.84,2.7234389418634137,10.491777511079082
1.85,2.7333794302994936,10.51439640298245
1.86,2.7432324225887905,10.535775931268187
1.87,2.7530021369540245,10.55593881272269
1.8800000000000001,2.7626927688051186,10.574907628832223
1.8900000000000001,2.772308487639241,10.592704789477454
1.9000000000000001,2.7818534348196824,10.609352504181048
1.9100000000000001,2.7913317215257285,10.624872755110774
1.92,2.8007474275743958,10.639287278334102
1.93,2.8101045989164564,10.652617532203864
1.94,2.8194072463782525,10.664884677616659
1.95,2.8286593444450694,10.676109558572332
1.96,2.837864830631682,10.686312688705128
1.97,2.8470276046206604,10.6955142351493
1.98,2.856151527261044,10.703734000729764
1.99,2.865240420234454,10.710991412974776
2.0,2.8742980657783166,10.717305513572343
2.0100000000000002,2.883328207004397,10.722694954034639
2.02,2.8923345473768327,10.727177982129476
2.0300000000000002,2.9013207509145067,10.73077243593157
2.04,2.910290442459957,10.733495738429811
2.05,2.9192472081954746,10.735364894910363
2.06,2.9281945961470313,10.736396489998473
2.07,2.9371361165675407,10.73660668274694
2.08,2.9460752426784445,10.736011206038626
2.09,2.9550154114337412,10.73462536599064
2.1,2.9639600245458495,10.73246404445858
2.11,2.9729124491863472,10.729541697134819
2.12,2.981876018971947,10.725872355076259
2.13,2.990854035003194,10.72146962669719
2.14,2.999849767084129,10.71634670197808
2.15,3.0088664550249664,10.710516357584021
2.16,3.0179073095000333,10.703990955841133
2.17,3.0269755133949467,10.696782450103328
2.18,3.0360742230692046,10.68890238883301
2.19,3.0452065699712336,10.68036192407125
2.2,3.0543756617753672,10.671171813699848
2.21,3.063584583651397,10.661342425314608
2.22,3.0728363997109636,10.650883742290388
2.23,3.082134154497175,10.63980537003624
2.24,3.0914808748004146,10.628116545479532
2.25,3.100879570620421,10.615826137977624
2.2600000000000002,3.110333236755289,10.602942656465013
2.27,3.119844854288338,10.589474255543621
2.2800000000000002,3.129417392357009,10.575428744089251
2.29,3.1390538096846003,10.560813591648207
2.3000000000000003,3.1487570557938724,10.545635931879815
2.31,3.158530072669899,10.529902570051213
2.32,3.1683757963089882,10.513619989441759
2.33,3.17829715859399,10.496794360737763
2.34,3.188297088542546,10.479431545504507
2.35,3.198378513868502,10.46153710251738
2.36,3.2085443625792758,10.443116294358047
2.37,3.21879756463563,10.42417409454325
2.38,3.22914105370034,10.404715195426078
2.39,3.239577768409177,10.38474401145387
2.4,3.2501106540501623,10.364264686242704
2.41,3.2607426641398054,10.343281098582624
2.42,3.2714767621786054,10.321796870148129
2.43,3.2823159231504686,10.299815370560225
2.44,3.2932631350308688,10.277339722442786
2.45,3.304321400421793,10.254372807649343
2.46,3.3154937381816953,10.230917273375482
2.47,3.3267831852191643,10.206975539919258
2.48,3.3381927977774817,10.182549802909353
2.49,3.3497256531002173,10.15764203949542
2.5,3.36138485103309,10.1322540137535
2.5100000000000002,3.3731735156002096,10.106387281710703
2.52,3.3850947965951335,10.080043196425045
2.5300000000000002,3.3971518718517264,10.053222920429882
2.54,3.409347948315152,10.0259274248742
2.5500000000000003,3.421686263446882,9.99815749222151
2.56,3.4341700870448357,9.969913723397573
2.57,3.4468027228544935,9.941196542522013
2.58,3.4595875101798015,9.91200620151807
2.59,3.472527825687176,9.882342787437098
2.6,3.4856270851914215,9.852206229395826
2.61,3.4988887448453245,9.82159629663602
2.62,3.512316302975568,9.790512605948763
2.63,3.5259133017332442,9.75895462625144
2.64,3.539683328743249,9.726921683021311
2.65,3.553630018777019,9.694412963292386
