,E,T,I
0.0,0.1,0.1,0.1
0.01,0.10987655426250977,0.09807177653490676,0.05746193008478537
0.02,0.11971862322876758,0.09590904388038976,0.03305601181274831
0.03,0.12953218329167968,0.09352821546020047,0.01905338493047378
0.04,0.13932152658832156,0.09094696931373561,0.011019666135609367
0.05,0.14908956358225806,0.08818411309095885,0.006410582753176719
0.06,0.1588382022530721,0.08525942351395494,0.0037663625645084913
0.07,0.16856866904613446,0.08219346253544495,0.00224944469748246
0.08,0.17828174427288535,0.07900737508137927,0.0013792762282170115
0.09,0.18797792303307892,0.07572267373460051,0.0008801399829922662
0.1,0.19765752088410224,0.07236101549546037,0.0005938409607028001
0.11,0.2073207415745741,0.0689439754216921,0.0004296153635075263
0.12,0.2169677197711316,0.06549282166993346,0.00033538814380087387
0.13,0.22659854771057603,0.062028296234498716,0.00028128243637768143
0.14,0.23621329168993552,0.05857040547526879,0.00025015785101731276
0.15,0.24581200220164334,0.05513822429491319,0.00023218491360850913
0.16,0.25539472015410664,0.051749717448112506,0.00022172039551217174
0.17,0.2649614806160712,0.0484215813713082,0.00021553499415032922
0.18,0.27451231514487306,0.045169108761562146,0.00021177563625104914
0.19,0.2840472531499525,0.042006079430168056,0.0002093848564856666
0.2,0.2935663227505494,0.03894467724295977,0.00020775879861571964
0.21,0.30306955128220314,0.03599543410986583,0.00020655153832299788
0.22,0.3125569655781022,0.03316720348682179,0.0002055715041704046
0.23,0.32202859217983204,0.030467159904948294,0.00020470965152990443
0.24,0.3314844574301463,0.0279008254947686,0.00020390762879579782
0.25,0.34092458754417393,0.02547212029545014,0.00020313543405538488
0.26,0.3503490086527451,0.02318343453362046,0.0002023784387516965
0.27,0.35975774682296857,0.02103572021810322,0.00020163127558425284
0.28,0.36915082807500377,0.019028598898876092,0.0002008932635754028
0.29,0.37852827838957864,0.01716048206069894,0.00020016634000041364
0.3,0.38789012371290615,0.015428699112070326,0.00019945372724360628
0.31,0.3972363899600609,0.013829613696640672,0.00019875904969156457
0.32,0.4065671030193779,0.012358813986027888,0.00019808514440435823
0.33,0.41588228874623934,0.01101119253074809,0.00019743532646264138
0.34,0.42518197296414545,0.009781100110058822,0.00019681288235854524
0.35000000000000003,0.4344661814648879,0.00866247514921544,0.0001962208163939546
0.36,0.443734940017005,0.007648962890338817,0.00019566009202022356
0.37,0.45298827435774064,0.006734025271100478,0.00019513099214123032
0.38,0.4622262101857181,0.0059110398303816,0.00019463430941308799
0.39,0.4714487731586489,0.005173389234285749,0.00019417140631989096
0.4,0.4806559888982308,0.004514546406620708,0.0001937432501090548
0.41000000000000003,0.48984788300130155,0.003928129655742031,0.0001933482447992858
0.42,0.4990244810282239,0.003407965190995767,0.0001929842606048268
0.43,0.5081858085017198,0.002948134743935723,0.0001926486969618723
0.44,0.517331890884384,0.0025430012402733663,0.00019234185242984132
0.45,0.5264627535855807,0.002187248712276246,0.00019206571915275338
0.46,0.5355784219915499,0.0018758836311435257,0.00019181897233971605
0.47000000000000003,0.54467892145816,0.0016042586568693821,0.00019159834525952867
0.48,0.5537642773244333,0.0013680677518079476,0.00019139670892777394
0.49,0.5628345148530606,0.0011633468537639521,0.00019121172021264386
0.5,0.5718896592198888,0.0009864691435917104,0.00019104735361122807
0.51,0.580929735559805,0.0008341292166828184,0.00019090662501861777
0.52,0.5899547689752651,0.0007033359913967945,0.0001907907643604797
0.53,0.5989647846240318,0.0005913910946826886,0.00019068737220764409
0.54,0.6079598075993297,0.0004958754343267906,0.00019058698576615235
0.55,0.6169398628037238,0.00041462802171013033,0.0001905000448301293
0.56,0.6259049751778786,0.00034572945373372835,0.0001904256629787405
0.5700000000000001,0.6348551696358682,0.00028748057458000863,0.0001903607268353042
0.58,0.6437904710217001,0.00023838431402440813,0.0001903055238201348
0.59,0.6527109041549618,0.000197127152934094,0.00019025788815989455
0.6,0.6616164938003817,0.0001625610894064066,0.00019021710723415646
0.61,0.6705072646799537,0.00013368758440855205,0.00019018240613304853
0.62,0.6793832414749056,0.00010964094908243642,0.00019015274681254436
0.63,0.6882444488208231,8.967340133989218e-05,0.00019012744269058274
0.64,0.6970909113084643,7.31418173244048e-05,0.00019010608007352265
0.65,0.7059226534874398,5.949513038113998e-05,0.000190088106361524
0.66,0.7147396998657636,4.826095945444313e-05,0.00019007291847833997
0.67,0.7235420749082861,3.904196185951697e-05,0.00019006005190058372
0.68,0.7323298030367265,3.149875758908507e-05,0.0001900492082683976
0.6900000000000001,0.7411029086295524,2.5345734903226207e-05,0.00019004027997138276
0.7000000000000001,0.7498614160251521,2.0338983170460122e-05,0.00019003302495464806
0.71,0.7586053495209525,1.627800735602448e-05,0.00019002716547514422
0.72,0.7673347333748317,1.2991762510987507e-05,0.00019002228458953854
0.73,0.7760495918030469,1.034197751857221e-05,0.00019001803361311503
