,E,T,N
0.0,0.1,0.5,0.1
0.01,0.10778437895594807,0.484066075105125,0.10929655801971688
0.02,0.11552433409210479,0.4664631124903057,0.11853098195306738
0.03,0.12321656481497714,0.4474248032996791,0.12770372987265807
0.04,0.1308575418855548,0.42719468902902463,0.1368152595247851
0.05,0.13844355043370607,0.4060210544737527,0.14586602775256208
0.06,0.1459707391880229,0.38415195007311437,0.1548564898881853
0.07,0.15343517537609763,0.36183049817776164,0.16378709909877112
0.08,0.16083290483838272,0.33929059926464117,0.172658305693677
0.09,0.16816001601483738,0.31675311646152393,0.1814705564081494
0.1,0.17541270692174543,0.294422692924682,0.19022429367604493
0.11,0.1825873524331515,0.2724851501342731,0.19891995491589382
0.12,0.18968057027109922,0.25110556159976566,0.20755797184863464
0.13,0.1966892832147039,0.2304269954715766,0.21613876987104358
0.14,0.20361077512650097,0.21056988714440755,0.22466276750725359
0.15,0.21044273849415415,0.19163200752233703,0.23313037596009345
0.16,0.21718331174372071,0.1736889729211826,0.24154199877795327
0.17,0.22383110490938565,0.1567952209699355,0.2498980316490783
0.18,0.23038521201190745,0.14098536878114684,0.25819886233731104
0.19,0.23684521085391788,0.1262758607267157,0.26644487074999024
0.2,0.24321115045116415,0.11266685449083354,0.27463642913433745
0.21,0.24948352651613953,0.10014423726521571,0.28277390239542644
0.22,0.2556632471783586,0.08868168748967899,0.2908576485119001
0.23,0.2617515908864028,0.07824273952692304,0.2988880190290328
0.24,0.2677501580064531,0.06878279649363882,0.3068653596126665
0.25,0.2736608189031123,0.06025102326829084,0.3147900106346225
0.26,0.2794856612165278,0.052592089574626896,0.322662307761847
0.27,0.2852269369700365,0.04574776254198084,0.33048258254295626
0.28,0.2908870121524196,0.03965830684782612,0.33825116296483443
0.29,0.29646832025533576,0.03426369281837745,0.34596837396456237
0.3,0.30197332038500246,0.029504619985443226,0.3536345378907082
0.31,0.3074044603647645,0.02532335766414839,0.36124997490987804
0.32,0.31276414580728806,0.021664409587427977,0.36881500334897477
0.33,0.31805471483367104,0.01847502483767121,0.3763299399769483
0.34,0.32327841806563073,0.015705565015947335,0.3837951002300228
0.35000000000000003,0.32843740392276916,0.013309736631934216,0.39121079838032435
0.36,0.33353370845777036,0.011244737610334626,0.39857734765682923
0.37,0.33856924909995195,0.00947129435723676,0.4058950603242803
0.38,0.34354582238167153,0.007953621243268844,0.4131642477201827
0.39,0.3484651037587641,0.006659341455981365,0.4203852202697344
0.4,0.3533286504395785,0.005559339388791729,0.4275582874687877
0.41000000000000003,0.3581379057586794,0.0046275891012002995,0.4346837578506142
0.42,0.36289420457370763,0.0038409643142400555,0.44176193894183197
0.43,0.3675987802324406,0.0031790192361811132,0.44879313720175656
0.44,0.37225277155769304,0.002623775367950552,0.455777657961595
0.45,0.3768572302335492,0.002159504027620552,0.4627158053593973
0.46,0.3814131285402589,0.0017725066109117156,0.4696078822713399
0.47000000000000003,0.3859213665541814,0.0014509109686958112,0.4764541902486592
0.48,0.39038277932982296,0.0011844728542547726,0.483255029454784
0.49,0.3947981436892607,0.0009643902275504943,0.49001069860661417
0.5,0.39916818443267854,0.0007831337403820437,0.4967214949219055
0.51,0.4034935802585487,0.0006342875788037149,0.5033877140697196
0.52,0.40777496906968536,0.000512407009658608,0.5100096501273494
0.53,0.4120129527879961,0.00041288962115975926,0.5165875955424177
0.54,0.41620810172682743,0.00033185939684660483,0.5231218410996323
0.55,0.42036095844933,0.0002660644144399485,0.5296126758929459
0.56,0.4244720412248377,0.000212785641169505,0.5360603873019314
0.5700000000000001,0.4285418469991862,0.00016975897631783219,0.5424652609732625
